100.00%,2.8920,1.02
         1724893 function calls (1534447 primitive calls) in 1.454 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5008    0.001    0.000    0.001    0.000 error.py:6(__init__)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.001    0.001 _fileno.py:1(<module>)
     3585    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.001    0.001 style.py:30(Style)
       14    0.000    0.000    0.001    0.000 _make.py:1076(add_hash)
      648    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     3899    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       22    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
      641    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 getpass.py:1(<module>)
       12    0.000    0.000    0.001    0.000 typing.py:1562(copy_with)
       31    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        3    0.000    0.000    0.001    0.000 _make.py:2007(_add_repr)
       15    0.000    0.000    0.001    0.000 _make.py:805(build_class)
     2513    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _version_info.py:1(<module>)
        7    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
        7    0.000    0.000    0.001    0.000 dataclasses.py:627(_repr_fn)
       27    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
       14    0.001    0.000    0.001    0.000 _make.py:867(_create_slots_class)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
        1    0.000    0.000    0.001    0.001 platform.py:1143(python_implementation)
      140    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
        1    0.000    0.000    0.001    0.001 platform.py:1045(_sys_version)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
      177    0.000    0.000    0.001    0.000 typing.py:1609(__hash__)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 segment.py:63(Segment)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 _nested_sequence.py:1(<module>)
     1287    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      501    0.001    0.000    0.001    0.000 random.py:242(_randbelow_with_getrandbits)
      196    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.001    0.001 setters.py:1(<module>)
     1848    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      343    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      500    0.000    0.000    0.001    0.000 game.py:21(score)
      258    0.000    0.000    0.001    0.000 __init__.py:82(find_spec)
      115    0.001    0.000    0.001    0.000 _make.py:1190(_add_method_dunders)
        8    0.000    0.000    0.001    0.000 typing.py:1841(__init__)
      360    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
        1    0.000    0.000    0.001    0.001 text.py:118(Text)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
       37    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        8    0.001    0.000    0.001    0.000 typing.py:1721(_get_protocol_attrs)
       25    0.000    0.000    0.001    0.000 _make.py:2691(evolve)
      140    0.000    0.000    0.001    0.000 style.py:122(__init__)
     2183    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      500    0.001    0.000    0.001    0.000 guesser.py:153(restart_game)
